epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_absolute_percentage_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_absolute_percentage_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,-1.0988124117054248,0.0005,-1.0988288542968558,0.2211516603681795,85.30772307198806,0.04138305263597695,-1.8252052144159245,-1.8252223805536198,0.14737583234717574,32.90454664109628,0.08077942483315739,-1.8252223805536198,-1.0988288542968558
1,-2.0361917248235066,0.0005,-2.0362094067161975,0.1319208392384332,28.901759121005096,0.03749258723695289,-2.2901881042915053,-2.2902062120316904,0.11780428395995611,22.57307525827915,0.04864392832180933,-2.2902062120316904,-2.0362094067161975
2,-2.2499629481748924,0.0005,-2.2499814411448367,0.10941087692330836,23.09675832300879,0.027343432937993267,-2.326152468783946,-2.326171300079249,0.11586835556015183,20.602577849279477,0.06307743326171383,-2.326171300079249,-2.2499814411448367
3,-2.320708979522112,0.0005,-2.3207281109507525,0.10365219021413746,22.078491806317974,0.023305947067054748,-2.394188165664673,-2.3942077129702026,0.10876014135495017,21.722738845438897,0.04965095081708477,-2.3942077129702026,-2.3207281109507525
4,-2.368013789658773,0.0005,-2.368033596756738,0.09522622642393469,21.141315510819076,0.01734483979191038,-2.334478272667414,-2.3344982998280583,0.09998861572976354,20.353625901137725,0.06467393068950388,-2.3344982998280583,-2.368033596756738
5,-2.4051038309432275,0.0005,-2.405124172901308,0.09408213577217646,20.720710975497795,0.017782028553605486,-2.476039901564393,-2.476060640962818,0.09364759115667283,18.705943735339975,0.04249220563664655,-2.476060640962818,-2.405124172901308
6,-2.4600506391709245,0.0005,-2.460071552232657,0.08973924537298567,19.292519295015815,0.014833765223917588,-2.545902297466616,-2.545923516720156,0.08593272266885903,18.28987550131882,0.029986343193280546,-2.545923516720156,-2.460071552232657
7,-2.4930041338311892,0.0005,-2.4930255820131833,0.08819824284951946,18.9885967550331,0.014539654453495757,-2.5614050641844543,-2.5614267602751526,0.08330080295099487,17.469300716738157,0.029785892348500747,-2.5614267602751526,-2.4930255820131833
8,-2.506678179905401,0.0005,-2.5067001953304815,0.0854515503446816,19.094832586842543,0.012005319282303268,-2.588037327875065,-2.588059736203544,0.083261238623269,17.110937673834307,0.009396958300443013,-2.588059736203544,-2.5067001953304815
9,-2.5271595803885485,0.0005,-2.527182225907981,0.08489989610805108,18.68767240193969,0.011432466276514203,-2.5273335191267954,-2.527356407310389,0.07816153528946865,21.37898101082331,-0.003346851458065683,-2.527356407310389,-2.527182225907981
