epoch,loss,lr,output_loss,output_mean_absolute_error,output_mean_absolute_percentage_error,output_mean_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_output_mean_absolute_percentage_error,val_output_mean_error,val_variance_output_loss,variance_output_loss
0,-1.3124718534774484,0.0005,-1.312488041524177,0.20838072255524343,93.55423421167129,0.04448112783831279,-1.9491570965398717,-1.9491737258585193,0.13006945039275325,37.08470030675961,0.047338642227121544,-1.9491737258585193,-1.312488041524177
1,-2.0839010252924273,0.0005,-2.0839179449574243,0.12552810688216925,36.003329458183416,0.035432898917485176,-2.273850852930093,-2.273868013031875,0.09914845878942104,23.89391092710857,0.034581665544994644,-2.273868013031875,-2.0839179449574243
2,-2.2390732239442745,0.0005,-2.239090605987517,0.10713630699547393,29.90593127032232,0.02478399061384564,-2.2789573458176626,-2.278974980493135,0.09395389343741574,23.66064622130575,0.02023470739810433,-2.278974980493135,-2.239090605987517
3,-2.310020599951291,0.0005,-2.3100384721043388,0.09960926935992427,27.82722257635447,0.021158872388970556,-2.2879002474342722,-2.2879183609274367,0.09157545614657522,25.072682392748096,4.403996340270284e-05,-2.2879183609274367,-2.3100384721043388
4,-2.3387524949272254,0.0005,-2.3387708898696156,0.09923678924272347,26.70734626887231,0.018497330490070494,-2.3015008878104295,-2.3015194844595994,0.08882824765353263,26.0348952571048,-0.008547748512694542,-2.3015194844595994,-2.3387708898696156
5,-2.411541680508819,0.0005,-2.4115605917056846,0.09050466771648583,25.194396037629197,0.014238980983438584,-2.358038466942461,-2.3580577735659443,0.0968482804637921,22.915004030058654,-0.03446008498438551,-2.3580577735659443,-2.4115605917056846
6,-2.4406768244446657,0.0005,-2.440696328212429,0.09132458787806873,25.649106077641747,0.013522442990221999,-2.4730203528004355,-2.4730401408823233,0.08215145983650715,21.322152511982978,0.0013565391425892144,-2.4730401408823233,-2.440696328212429
7,-2.4652269911437226,0.0005,-2.465247016379287,0.08731373818070945,24.14972909602373,0.01153826913337858,-2.540811430049848,-2.540831696383561,0.07777777139710475,20.958048216904267,0.0077365027045053015,-2.540831696383561,-2.465247016379287
8,-2.514931293326695,0.0005,-2.5149518752564264,0.08476805020456707,23.827796689624893,0.008862472182548183,-2.4577924744992314,-2.4578132259694834,0.08036106386328046,19.29210394847242,0.020385558428124912,-2.4578132259694834,-2.5149518752564264
9,-2.4951650211639578,0.0005,-2.4951861995225513,0.08764650771529647,23.95841044687026,0.010052709214261853,-2.53492022390607,-2.5349416823326787,0.07965560464919368,20.251592913760415,-0.008176765705258408,-2.5349416823326787,-2.4951861995225513
10,-2.6079798467540543,0.00025,-2.608001424447118,0.08289936529056237,21.962338020015697,0.008200847828798465,-2.554092024700551,-2.55411372003676,0.08357016254169276,21.487442414971845,-0.01498820956890719,-2.55411372003676,-2.608001424447118
11,-2.625124240221258,0.00025,-2.6251459661142786,0.07964282343164086,20.873997964006563,0.0078176533850983,-2.6193730416177194,-2.6193949731090402,0.07350146275343775,18.107154628898524,0.005398220158641851,-2.6193949731090402,-2.6251459661142786
